SMILES,ionicSMILES,Modifier,Behaviour Type,Positive?,1500,2000,2500,3000,3250,3500,3750,4000
CC(C)NCC(O)c1ccc(N[S](C)(=O)=O)cc1,CC(C)NCC(O)c1ccc(N[S](C)(=[OH+])=O)cc1,0,2,0,0.45,1.05,2.08,3.64,4.7,6.01,7.58,9.38
CC(C)NCC(O)c1ccc(N[S](C)(=O)=O)cc1,CC(C)NCC(O)c1ccc(N[S](C)(=[OH+])=O)cc1,1,2,0,0.3,0,0.1,0.9,1.3,1.9,2.4,3.2
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,CC(C)NCC(O)COc1ccc(CC(N)=[OH+])cc1,0,2,0,0.86,2.08,4.35,8.01,10.42,13.3,16.58,20.32
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,CC(C)NCC(O)COc1ccc(CC(N)=[OH+])cc1,1,1,0,-1.45,-3,-5,-5.3,-3.8,-1.7,0.3,3.1
CC(C)OC(=O)N[C@H](C(C)C)C(=O)NC(C)c1ccc(C)cc1,CC(C)OC(=O)N[C@H](C(C)C)C(=[OH+])NC(C)c1ccc(C)cc1,0,2,0,0.5,1.3,2.57,4.46,5.71,7.28,8.93,10.79
CC(C)OC(=O)N[C@H](C(C)C)C(=O)NC(C)c1ccc(C)cc1,CC(C)OC(=O)N[C@H](C(C)C)C(=[OH+])NC(C)c1ccc(C)cc1,1,1,0,-0.88,-1.49,-1.98,-2.47,-2.45,-1.75,-0.95,0.75
CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,CC(C)Oc1cccc(NC(=[OH+])c2ccccc2C(F)(F)F)c1,0,2,0,0.5,1.26,2.54,4.49,5.76,7.25,8.89,10.82
CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,CC(C)Oc1cccc(NC(=[OH+])c2ccccc2C(F)(F)F)c1,1,0,0,-1.06,-1.77,-3.74,-5.71,-7.08,-8.66,-10.42,-12.28
CC(C)Oc1cccc(NC(=O)c2ccccc2C)c1,CC(C)Oc1cccc(NC(=[OH+])c2ccccc2C)c1,0,2,0,0.42,1.09,2.22,3.86,4.94,6.34,7.84,9.58
CC(C)Oc1cccc(NC(=O)c2ccccc2C)c1,CC(C)Oc1cccc(NC(=[OH+])c2ccccc2C)c1,1,0,0,-1.75,-3.03,-5.78,-8.52,-10.45,-12.63,-14.92,-17.2
CC(C1CC1)C(O)(Cn2cncn2)c3ccc(Cl)cc3,CC(C1CC1)C(O)(Cn2cnc[nH+]2)c3ccc(Cl)cc3,0,2,0,0.44,1.12,2.39,4.45,5.86,7.47,9.13,11.39
CC(C1CC1)C(O)(Cn2cncn2)c3ccc(Cl)cc3,CC(C1CC1)C(O)(Cn2cnc[nH+]2)c3ccc(Cl)cc3,1,0,0,-0.86,-1.58,-2.76,-3.94,-4.7,-5.63,-6.77,-8.1
CC(Cc1ccc(O)cc1)NCC(O)c2cc(O)cc(O)c2,CC(Cc1ccc(O)cc1)[NH2+]CC(O)c2cc(O)cc(O)c2,0,2,0,0.58,1.27,2.21,4.1,5.37,6.84,8.49,10.31
CC(CCc1ccc(O)cc1)NCC(O)c2ccc(O)cc2,CC(CCc1ccc(O)cc1)[NH2+]CC(O)c2ccc(O)cc2,0,2,0,0.71,1.52,2.91,4.19,5.37,6.96,8.82,10.82
